Op,theta0,L0,omega,phi,ell,Oeq,Ub,Ut,Ua,Utotal,exitflag
1.57,2.46615023306799,0.154134389566749,4.17326834595866,0.949077869672796,0.0589067701823991,1.66591597201253,0.502563318338413,0.515880143823264,8.97587175268914e-07,1.01844435974885,2
1.58,2.48185819633594,0.155116137270996,4.18321443681665,0.953053080541984,0.0588706670590211,1.67755422602765,0.504452966440498,0.519191984979248,1.22776936033878e-06,1.02364617918911,2
1.59,2.49756615960389,0.156097884975243,4.19290935375351,0.957005278221995,0.0588366225796685,1.68914761849489,0.506205025484051,0.52228739585635,1.63645833785221e-06,1.02849405779874,2
1.6,2.51327412287183,0.15707963267949,4.20236418689581,0.960935110179327,0.0588045510687909,1.70069735209677,0.507821652151743,0.52517080664282,2.1215658995439e-06,1.03299458036046,2
1.61,2.52898208613978,0.158061380383736,4.21158892117616,0.964843040818063,0.0587743883298068,1.7122040544721,0.509306824510906,0.527844685796381,2.67602674466697e-06,1.03715418633403,2
1.62,2.54469004940773,0.159043128087983,4.22059337510264,0.968729718854512,0.0587460552995118,1.7236688644299,0.51066260298956,0.53031327575011,3.29511033031901e-06,1.04097917385,2
1.63,2.56039801267568,0.16002487579223,4.22938653526711,0.972595677953032,0.0587194879407059,1.73509255702372,0.51189183655309,0.532579888944917,3.97808575604e-06,1.04447570358376,2
1.64,2.57610597594363,0.161006623496477,4.23797710835539,0.976441555256241,0.0586946140166495,1.74647619276582,0.512996813111929,0.534648269783031,4.71962157859589e-06,1.04764980251654,2
1.65,2.59181393921158,0.161988371200724,4.24637297813813,0.980267832983105,0.0586713793318748,1.7578203575412,0.513980572714028,0.536521281057891,5.51380043920173e-06,1.05050736757236,2
1.66,2.60752190247953,0.162970118904971,4.25458192929938,0.984075146385865,0.0586497171244661,1.7691260776294,0.514845167635658,0.538202641471884,6.36003210546386e-06,1.05305416913965,2
1.67,2.62322986574748,0.163951866609217,4.26261092972069,0.987863940565775,0.058629581356947,1.78039380485697,0.515593104022549,0.539695494102324,7.25636247877687e-06,1.05529585448735,2
